NAM,CAL,CAR,FAT,FIB,POT,PRO,SOD,SUG,VIT
100% Natural Bran,120,8,5,2,135,3,15,8,0
Cinnamon Toast Crunch,120,13,3,0,45,1,210,9,25
Muesli Raisins; Peaches; & Pecans,150,16,3,3,170,4,150,11,25
Cracklin' Oat Bran,110,10,3,4,160,3,140,7,25
Muesli Raisins; Dates; & Almonds,150,16,3,3,170,4,95,11,25
Great Grains Pecan,120,13,3,3,100,3,75,4,25
Cheerios,110,17,2,2,105,6,290,1,25
Nutri-Grain Almond-Raisin,140,21,2,3,130,3,220,7,25
Honey Graham Ohs,120,12,2,1,45,1,220,11,25
Cap'n'Crunch,120,12,2,0,35,1,220,12,25
Basic 4,130,18,2,2,100,3,210,8,25
Almond Delight,110,14,2,1,-1,2,200,8,25
Apple Cinnamon Cheerios,110,10.5,2,1.5,70,2,180,10,25
Oatmeal Raisin Crisp,130,13.5,2,1.5,120,3,170,10,25
Fruit & Fibre Dates; Walnuts; and Oats,120,12,2,5,200,3,160,10,25
Mueslix Crispy Blend,160,17,2,3,160,3,150,13,25
Life,100,12,2,2,95,4,150,6,25
Clusters,110,13,2,2,105,3,140,7,25
Raisin Nut Bran,100,10.5,2,2.5,140,3,140,8,25
Quaker Oatmeal,100,-1,2,2.7,110,5,0,-1,0
Golden Grahams,110,15,1,0,45,1,280,9,25
Kix,110,21,1,0,40,2,260,3,25
All-Bran,70,7,1,9,320,4,260,5,25
Honey Nut Cheerios,110,11.5,1,1.5,90,3,250,10,25
Triples,110,21,1,0,60,2,250,3,25
Wheat Chex,100,17,1,3,115,3,230,3,25
Multi-Grain Cheerios,100,15,1,2,90,2,220,6,25
Raisin Bran,120,14,1,5,240,3,210,12,25
Post Nat. Raisin Bran,120,11,1,6,260,3,200,14,25
Wheaties Honey Gold,110,16,1,1,60,2,200,8,25
Total Corn Flakes,110,21,1,0,35,2,200,3,100
Total Whole Grain,100,16,1,3,110,3,200,3,100
Wheaties,100,17,1,3,110,3,200,3,25
Bran Chex,90,15,1,4,125,2,200,6,25
Total Raisin Bran,140,15,1,4,230,3,190,14,100
Nut&Honey Crunch,120,15,1,0,40,2,190,9,25
Cocoa Puffs,110,12,1,0,55,1,180,13,25
Count Chocula,110,12,1,0,65,1,180,13,25
Lucky Charms,110,12,1,0,55,2,180,12,25
Just Right Fruit & Nut,140,20,1,2,95,3,170,9,100
Just Right Crunchy  Nuggets,110,17,1,1,60,2,170,6,100
Trix,110,13,1,0,25,1,140,12,25
Grape Nuts Flakes,100,15,1,3,85,3,140,5,25
Crispy Wheat & Raisins,100,11,1,2,120,2,140,10,25
Fruity Pebbles,110,13,1,0,25,1,135,12,25
Quaker Oat Squares,100,14,1,2,110,4,135,6,25
100% Bran,70,5,1,10,280,4,130,6,25
Froot Loops,110,11,1,1,30,2,125,13,25
Smacks,110,9,1,1,40,2,70,15,25
Maypo,100,16,1,0,95,4,0,3,25
Product 19,100,20,0,1,45,3,320,3,100
Rice Krispies,110,22,0,0,35,2,290,3,25
Corn Flakes,100,21,0,1,35,2,290,2,25
Corn Chex,110,22,0,0,25,2,280,3,25
Fruitful Bran,120,14,0,5,190,3,240,12,25
Rice Chex,110,23,0,0,30,1,240,2,25
Special K,110,16,0,1,55,6,230,3,25
Crispix,110,21,0,1,30,2,220,3,25
Bran Flakes,90,13,0,5,190,3,210,5,25
Frosted Flakes,110,14,0,1,25,1,200,11,25
Double Chex,100,18,0,1,80,2,190,5,25
Honey-comb,110,14,0,0,35,1,180,11,25
Grape-Nuts,110,17,0,3,90,3,170,3,25
Nutri-grain Wheat,90,18,0,3,90,3,170,2,25
All-Bran with Extra Fiber,50,8,0,14,330,4,140,0,25
Apple Jacks,110,11,0,1,30,2,125,14,25
Corn Pops,110,13,0,1,20,1,90,12,25
Cream of Wheat (Quick),100,21,0,1,-1,3,80,0,0
Golden Crisp,100,11,0,0,40,2,45,15,25
Strawberry Fruit Wheats,90,15,0,3,90,2,15,5,25
Frosted Mini-Wheats,100,14,0,3,100,3,0,7,25
Shredded Wheat 'n'Bran,90,19,0,4,140,3,0,0,0
Shredded Wheat spoon size,90,20,0,3,120,3,0,0,0
Raisin Squares,90,15,0,2,110,2,0,6,25
Shredded Wheat,80,16,0,3,95,2,0,0,0
Puffed Wheat,50,10,0,1,50,2,0,0,0
Puffed Rice,50,13,0,0,15,1,0,0,0
Cocoa Pebbles,,,,,,,,,
