TYP,COM,NAM
C,N,100% Bran
C,Q,100% Natural Bran
C,K,All-Bran
C,K,All-Bran with Extra Fiber
C,R,Almond Delight
C,G,Apple Cinnamon Cheerios
C,K,Apple Jacks
C,G,Basic 4
C,R,Bran Chex
C,P,Bran Flakes
C,Q,Cap'n'Crunch
C,G,Cheerios
C,G,Cinnamon Toast Crunch
C,G,Clusters
C,G,Cocoa Pebbles
C,G,Cocoa Puffs
C,R,Corn Chex
C,K,Corn Flakes
C,K,Corn Pops
C,G,Count Chocula
C,K,Cracklin' Oat Bran
H,N,Cream of Wheat (Quick)
C,K,Crispix
C,G,Crispy Wheat & Raisins
C,R,Double Chex
C,K,Froot Loops
C,K,Frosted Flakes
C,K,Frosted Mini-Wheats
C,P,Fruit & Fibre Dates; Walnuts; and Oats
C,K,Fruitful Bran
C,P,Fruity Pebbles
C,P,Golden Crisp
C,G,Golden Grahams
C,P,Grape Nuts Flakes
C,P,Grape-Nuts
C,P,Great Grains Pecan
C,Q,Honey Graham Ohs
C,G,Honey Nut Cheerios
C,P,Honey-comb
C,K,Just Right Crunchy  Nuggets
C,K,Just Right Fruit & Nut
C,G,Kix
C,Q,Life
C,G,Lucky Charms
H,A,Maypo
C,R,Muesli Raisins; Dates; & Almonds
C,R,Muesli Raisins; Peaches; & Pecans
C,K,Mueslix Crispy Blend
C,G,Multi-Grain Cheerios
C,K,Nut&Honey Crunch
C,K,Nutri-Grain Almond-Raisin
C,K,Nutri-grain Wheat
C,G,Oatmeal Raisin Crisp
C,P,Post Nat. Raisin Bran
C,K,Product 19
C,Q,Puffed Rice
C,Q,Puffed Wheat
C,Q,Quaker Oat Squares
H,Q,Quaker Oatmeal
C,K,Raisin Bran
C,G,Raisin Nut Bran
C,K,Raisin Squares
C,R,Rice Chex
C,K,Rice Krispies
C,N,Shredded Wheat
C,N,Shredded Wheat 'n'Bran
C,N,Shredded Wheat spoon size
C,K,Smacks
C,K,Special K
C,N,Strawberry Fruit Wheats
C,G,Total Corn Flakes
C,G,Total Raisin Bran
C,G,Total Whole Grain
C,G,Triples
C,G,Trix
C,R,Wheat Chex
C,G,Wheaties
C,G,Wheaties Honey Gold
